airportId,iata,longitude,latitude
DABS,TEE,8.12071990967,35.4315986633
DABT,BLJ,6.308589935300001,35.752101898199996
DAFH,HRM,3.311539888381958,32.93040084838867
DAOB,TID,1.46315002441,35.3410987854
DAOF,TIN,-8.167099952700001,27.7003993988
DAOI,CFK,1.33176994324,36.2126998901
DAOL,TAF,-0.5322780013084412,35.54240036010742
DAON,TLM,-1.45000004768,35.0167007446
DAOO,ORN,-0.6211829781529999,35.6239013672
DAOR,CBH,-2.269860029220581,31.645700454711914
DAOV,MUW,0.14714199304580688,35.207698822021484
DAUA,AZR,-0.18641400337219238,27.837600708007812
DAUB,BSK,5.73823022842,34.793300628699996
DAUE,ELG,2.8595900535583496,30.571300506591797
DAUG,GHA,3.794110059738159,32.38410186767578
DAUH,HME,6.140439987180001,31.673000335699996
DAUI,INZ,2.51202011108,27.250999450699997
DAUK,TGR,6.088669776916504,33.06779861450195
DAUL,LOO,2.92833995819,33.764400482199996
DAUO,ELU,6.77679014206,33.5113983154
DAUT,TMX,0.276033014059,29.2371006012
DAUU,OGX,5.412779808044434,31.917200088500977
DAUZ,IAM,9.64291,28.0515
DBBB,COO,2.384350061416626,6.357230186462402
DBC,DBC,123.019722,45.505278
DFFD,OUA,-1.51242,12.3532
DFOO,BOY,-4.33096981048584,11.160099983215332
DGAA,ACC,-0.16678600013256073,5.605189800262451
DGLE,TML,-0.8632140159606934,9.55718994140625
DGSI,KMS,-1.5908199548721313,6.714560031890869
DGSN,NYI,-2.3287599086761475,7.361830234527588
DGTK,TKD,-1.7747600078582764,4.896059989929199
DIAP,ABJ,-3.9262900352478027,5.261390209197998
DIBK,BYK,-5.073669910430908,7.738800048828125
DIDL,DJO,-6.473189830780029,6.792809963226318
DIKO,HGO,-5.55666017532,9.38718032837
DIMN,MJC,-7.58735990524292,7.272069931030273
DISP,SPY,-6.660820007324219,4.746719837188721
DIYO,ASK,-5.36558008194,6.9031701088
DNAA,ABV,7.263169765472412,9.006790161132812
DNAI,QUO,8.093,4.8725
DNAK,AKR,5.3010101318359375,7.246739864349365
DNAS,ABB,6.665278,6.204167
DNBC,BCU,9.744,10.482833
DNBE,BNI,5.5995001792907715,6.316979885101318
DNCA,CBQ,8.347200393676758,4.976019859313965
DNEN,ENU,7.561960220336914,6.474269866943359
DNIB,IBA,3.97832989692688,7.362460136413574
DNIL,ILR,4.493919849395752,8.440210342407227
DNIM,QOW,7.206029891967773,5.427060127258301
DNJO,JOS,8.869050025939941,9.639829635620117
DNKA,KAD,7.320109844207764,10.696000099182129
DNKN,KAN,8.52462,12.0476
