sir,pasajeros,companyia,conectividad,dineroT,dineroN,tasas,origen,destino,VuelosDesdeOrigen,areaInf
0.5972884874877794,87,EJU,321,43209.30775993291,16753.15108842723,485.65424640000003,BSL,PMI,53,Palma De Mallorca
0.5972884874877794,87,EZS,321,43209.30775993291,16753.15108842723,485.65424640000003,BSL,PMI,53,Palma De Mallorca
0.7077460890928313,103,RYR,-1,51155.84711808149,19834.190369057524,488.62006149,BVA,BCN,20,Barcelona
0.7098200714790338,103,RYR,-1,51155.84711808149,19834.190369057524,554.6302875,BVA,MAD,20,Madrid
0.7108592900984891,103,RYR,-1,51155.84711808149,19834.190369057524,388.88697393,BVA,SVQ,20,Sevilla
0.42616013011931353,87,VLG,8,53534.281463615735,10615.213323279448,511.9668587,CAG,BCN,47,Barcelona
0.7118999963713883,103,AEA,47556,51155.84711808149,19834.190369057524,463.50736128,CDG,AGP,330,Málaga
0.7108592900984891,103,AEA,47556,51155.84711808149,19834.190369057524,463.50736128,CDG,AGP,330,Málaga
0.5964152436175543,87,AFR,47556,43209.30775993291,16753.15108842723,511.9668587,CDG,BCN,330,Barcelona
0.7355788004616505,107,AFR,47556,53142.48195761864,20604.450189215087,690.0121667999999,CDG,BCN,330,Barcelona
0.4254428737805222,62,AFR,47556,30792.840012825753,11939.027212442388,408.742147,CDG,BCN,330,Barcelona
0.7753398167028207,113,FDX,47556,56122.43421692436,21759.83991945145,801.4117214400001,CDG,BCN,330,Barcelona
0.31808812992936225,46,HOP,47556,22846.30065467717,8857.987931812098,198.468547095,CDG,BIO,330,Bilbao
0.3817057559152348,56,HOP,47556,27812.887753520034,10783.63748220603,253.60635709499996,CDG,BIO,330,Bilbao
0.4937584829898977,72,AFR,47556,35759.427111668614,13864.676762836327,503.28,CDG,MAD,330,Madrid
0.4937584829898977,72,AFR,47556,35759.427111668614,13864.676762836327,503.28,CDG,MAD,330,Madrid
0.4260657877412828,62,AFR,47556,30792.840012825753,11939.027212442388,463.96124999999995,CDG,MAD,330,Madrid
0.9118604242313433,133,FDX,47556,66055.60841461008,25611.139020239327,1469.5775999999998,CDG,MAD,330,Madrid
0.6699425393734696,97,ABR,47556,48175.89485877577,18678.800638821165,494.000775,CDG,MAD,330,Madrid
0.3839460654587262,56,HOP,47556,27812.887753520034,10783.63748220603,253.60635709499996,CDG,SVQ,330,Sevilla
0.7087823384854985,103,AEA,47556,51155.84711808149,19834.190369057524,388.88697393,CDG,VLC,330,Valencia
0.33812118482597353,103,MAY,592,85566.7360960381,15632.194741793637,463.50736128,CGN,ALC,126,Alicante
0.3371244882070461,103,RYR,592,85566.7360960381,15632.194741793637,488.62006149,CGN,BCN,126,Barcelona
0.43307660585777685,133,UPS,592,110489.08641527251,20185.261171442267,1294.67343104,CGN,BCN,126,Barcelona
0.4343570012033034,133,UPS,592,110489.08641527251,20185.261171442267,1469.5775999999998,CGN,MAD,126,Madrid
0.3186549179133405,97,ABR,592,80582.26603219123,14721.581455863912,494.000775,CGN,MAD,126,Madrid
0.3371244882070461,103,MAY,592,85566.7360960381,15632.194741793637,463.50736128,CGN,PMI,126,Palma De Mallorca
0.3371244882070461,103,MAY,592,85566.7360960381,15632.194741793637,463.50736128,CGN,PMI,126,Palma De Mallorca
0.28409366983739837,87,EWG,592,72274.81592577977,13203.892645981032,485.65424640000003,CGN,PMI,126,Palma De Mallorca
0.3371244882070461,103,TUI,592,85566.7360960381,15632.194741793637,463.50736128,CGN,PMI,126,Palma De Mallorca
0.31818491021788625,97,SWT,592,80582.26603219123,14721.581455863912,167.43628188,CGN,VIT,126,Alava
0.48295923872357727,148,SRR,592,122950.26157488972,22461.794386266578,477.54789278,CGN,VIT,126,Alava
